Asset ID,Parent Name,Parent LEI,Parent Reg Number,Parent Reg Jurisdiction,Subsidiary Name,Subsidiary LEI,Subsidiary Reg Number,Subsidiary Reg Jurisdiction,Subsidiary Industry,Asset Name,Premise Type,Asset Criticality,Address,Country,Country Code,Latitude,Longitude,Probability
30_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,Siemens Energy Head Office,OFFICE,,X563+26W - Dubai - United Arab Emirates,United Arab Emirates,,24.9601242,55.1530745,high
31_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,Siemens Energy Global GmbH & Co. KG Mannheim,OFFICE,,"Glücksteinallee 25, 68163 Mannheim, Germany",Germany,,49.4764399,8.47128,high
32_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,Siemens Energy Global GmbH & Co. KG,INDUSTRIAL,,"Philipsbornstraße 2, 30165 Hannover, Germany",Germany,,52.3879587,9.7333639,high
33_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,Siemens Energy,OFFICE,,"Str. Sergent Nu_u Ion 44, Bucure_ti 061344, Romania",Romania,,44.4270177,26.061744,high
34_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,Siemens S.R.L.- Sucursala CF,HIGH_ST,,"Bd. Preciziei, 24, Bucuresti-Sector 6, Bucuresti, 062204, Bucure_ti, Romania",Romania,,44.4315,26,medium
35_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,Siemens Energy Blades & Vanes Tampa,OFFICE,,"13111 Bay Industrial Dr Suite 100, Gibsonton, FL 33534, USA",United States,,27.7957727,-82.3834198,medium
36_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,Siemens AG Röhrenwerk Berlin,INDUSTRIAL,,"Rohrdamm 88, 13629 Berlin, Germany",Germany,,52.5351526,13.2644097,medium
37_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,Siemens Energy S.A.,INDUSTRIAL,,"Ronda de Europa, 5, 28760 Tres Cantos, Madrid, Spain",Spain,,40.5979246,-3.7175093,high
38_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,Siemens Energy,INDUSTRIAL,,"Burj alshayaa, Al Kuwayt, Kuwait",Kuwait,,29.3624325,47.9809166,high
39_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,Siemens Energy,INDUSTRIAL,,"Ausschläger Elbdeich 2, 20539 Hamburg, Germany",Germany,,53.5318221,10.0408471,high
40_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,Siemens Energy,INDUSTRIAL,,"Zinkhüttenstraße 45, 45473 Mülheim an der Ruhr, Germany",Germany,,51.4379122,6.8789363,high
41_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,Siemens Energy AS,HIGH_ST,,"Kanalveien 7, 5068 Bergen, Norway",Norway,,60.3695487,5.341742,high
42_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,Siemens Energy S de RL de CV,INDUSTRIAL,,"Avenida Ejército Nacional 843-B , Acceso por Corporativo Antara II, Blvd. Miguel de Cervantes Saavedra, Granada, Miguel Hidalgo, 11520 Ciudad de México, CDMX, Mexico",Mexico,,19.4395915,-99.2019065,high
43_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,Siemens-energy EAD Centro de Ensamble,INDUSTRIAL,,"Av. Las Misiones 1, no name, 76246 Parque Industrial Tecnológico Innovación, Qro., Mexico",Mexico,,20.5576877,-100.2705723,medium
44_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,"Siemens Energy Fábrica de Interruptores de Potencia para Alta Tensión El Marqués, Querétaro, México",INDUSTRIAL,,"Parque Industrial El Marques Lotes 1 al 4, Manzana 10, 76246 Parque Industrial El Marqués, Qro., Mexico",Mexico,,20.5579704,-100.2641437,medium
45_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,Siemens Energy,INDUSTRIAL,,"Europark II, 76246 Parque Industrial Tecnológico Innovación, Qro., Mexico",Mexico,,20.5574713,-100.2680289,high
46_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,Siemens,INDUSTRIAL,,"C. 1 de Junio 248, Veintiuno de Enero, 67164 Guadalupe, N.L., Mexico",Mexico,,25.6899056,-100.2141223,high
47_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,Siemens,INDUSTRIAL,,"Cda. Ernesto Pugibet, Colonia Centro, Centro, Cuauhtémoc, 06070 Ciudad de México, CDMX, Mexico",Mexico,,19.4305726,-99.1456325,high
48_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,Siemens Energy d.o.o.,INDUSTRIAL,,"Slavonska Avenija 1a, 10000, Zagreb, Croatia",Croatia,,45.7971375,16.0106631,high
49_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,SIEMENS ENERGY d.o.o. Beograd,HIGH_ST,,"Tadije Sondermajera 11, Beograd, Serbia",Serbia,,44.8138771,20.3958073,high
50_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,Siemens Energy,INDUSTRIAL,,"DCU Alpha, Innovation House, Old Finglas Rd, Glasnevin, Dublin 11, D11 KXN4, Ireland",Ireland,,53.376486,-6.270562,high
51_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,Siemens Energy Global GmbH & Co.KG,INDUSTRIAL,,"Katzwanger Str. 150, 90461 Nürnberg, Germany",Germany,,49.4233396,11.0849063,high
52_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,Siemens Mobility - Soonvijai office,OFFICE,,"8/3 ___ ________ 47 ___ 4, 1 _. ________ 47 ___________ ___________ _____________ 10310, Thailand",Thailand,,13.7482393,100.5861147,medium
53_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,SIEMENS Energy Rayong,INDUSTRIAL,,"___________ Tambon Huai Pong, Amphoe Mueang Rayong, Chang Wat Rayong 21150, Thailand",Thailand,,12.7595088,101.1124406,high
54_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,"Siemens Co.,Ltd. Blue Line Extension Project Office",OFFICE,,"181 Rama IX Rd, Khwaeng Huai Khwang, Khet Huai Khwang, Krung Thep Maha Nakhon 10310, Thailand",Thailand,,13.7606265,100.5813217,medium
55_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,Siemens Energy Sdn Bhd,OFFICE,,"Level 1, Reception, Cp Tower, Pusat Perdagangan, 11, Jalan 16/11, Seksyen 16, 46350 Petaling Jaya, Selangor, Malaysia",Malaysia,,3.1269842,101.6443213,high
56_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,Siemens Energy Unlimited.,INDUSTRIAL,,"Amazon Drive, Point Lisas, Industrial Estate, 9GXF+9G3, Couva, Trinidad and Tobago",Trinidad and Tobago,,10.3983776,-61.4761998,high
57_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,Siemens Energy Austria GmbH,INDUSTRIAL,,"Werner v. Siemens Platz 1, 5020 Salzburg, Austria",Austria,,47.8375888,13.061903,high
58_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,Siemens Energy Inc,INDUSTRIAL,,"1335 Ridgeland Pkwy #300, Alpharetta, GA 30004, USA",United States,,34.1184089,-84.226994,high
59_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,"Siemens Energy, Inc.",INDUSTRIAL,,"100 W Chemung St, Painted Post, NY 14870, USA",United States,,42.1565155,-77.0912882,high
60_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,Siemens EPC Company,OFFICE,,"Alset Power Company Inc, 245 E 93rd St 9th Floor, New York, NY 10128, USA",United States,,40.7828013,-73.9491505,high
61_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,Siemens Energy Venezuela,INDUSTRIAL,,"F5M9+QRW Calle Don, Av. Principal de Los Ruices, Caracas 1071, Distrito Capital, Venezuela","Venezuela, Bolivarian Republic of",,10.4844919,-66.8304357,high
62_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,Siemens Energy Dammam Hub,INDUSTRIAL,,"Street # 152 Building 6685, _______ ________ _______ ________ ______ 34331, Saudi Arabia",Saudi Arabia,,26.2635209,49.9463515,high
63_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,Siemens Energy - Innovation Center Abu Dhabi,INDUSTRIAL,,Abu Dhabi - Sas Al Nakhl - Abu Dhabi - United Arab Emirates,United Arab Emirates,,24.4212258,54.4974331,medium
64_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,Siemens Energy,MIXED_USE,,"160 Barlow Moor Rd, Manchester M20 2AF, UK",United Kingdom,,53.4246724,-2.2516897,high
65_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,Siemens,SINGLE_RES,,"1081 Koekelberg, Belgium",Belgium,,50.8628491,4.3215322,high
66_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,Siemens Dematic Middle East LLC,SINGLE_RES,,Umm Hurair Rd - Oud Metha - Dubai - United Arab Emirates,United Arab Emirates,,25.243607,55.3114421,medium
67_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,Siemens Gamesa Renewable Energy Austria GmbH,SINGLE_RES,,"Weilandgasse 2, 2115 Ernstbrunn, Austria",Austria,,48.5267278,16.3679096,medium
68_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,GNA I power station 1,OIL_GAS_POWER_PLANT,,"São João da Barra, Rio de Janeiro",Brazil,,-21.83721694,-41.04198255,high
69_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy Services S.R.L.,5299006KP6CXG2O2XV80,J40/14692/2020,RO,Equity Real Estate Investment Trusts (REITs),Siemens Gamesa Renewable Energy Wind S.r.l. (xSenvion),INDUSTRIAL,,"Contrada Tranzano, 83031 Ariano Irpino AV, Italy",Italy,,41.1661905,15.1063048,medium
70_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy Services S.R.L.,5299006KP6CXG2O2XV80,J40/14692/2020,RO,Equity Real Estate Investment Trusts (REITs),Siemens Gamesa Renewable Energy Service S.R.L.,INDUSTRIAL,,"Agg.to Ind.le ASI III fase, Contrada Molara, snc, 90018 Termini Imerese PA, Italy",Italy,,37.9677985,13.7958626,high
71_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy Services S.R.L.,5299006KP6CXG2O2XV80,J40/14692/2020,RO,Equity Real Estate Investment Trusts (REITs),Siemens Energy,INDUSTRIAL,,"16030 Tribogna, Metropolitan City of Genoa, Italy",Italy,,44.4163539,9.2085017,high
72_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy Services S.R.L.,5299006KP6CXG2O2XV80,J40/14692/2020,RO,Equity Real Estate Investment Trusts (REITs),Siemens Gamesa Renewable Energy Wind Srl,INDUSTRIAL,,"Via Manfredonia, km 2,2, 71121 Foggia FG, Italy",Italy,,41.4800802,15.559547,medium
73_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy Services S.R.L.,5299006KP6CXG2O2XV80,J40/14692/2020,RO,Equity Real Estate Investment Trusts (REITs),Siemens Energy Centro de Servicio y Entrenamiento,INDUSTRIAL,,"Warnes, Bolivia","Bolivia, Plurinational State of",,-17.517395,-63.1146278,medium
74_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy Services S.R.L.,5299006KP6CXG2O2XV80,J40/14692/2020,RO,Equity Real Estate Investment Trusts (REITs),Siemens S.A.,INDUSTRIAL,,"edificio Siemens, Blvd. Pte. Arturo Umberto Illia 356 piso 1, X5000 Córdoba, Argentina",Argentina,,-31.422281,-64.181502,medium
75_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy Services S.R.L.,5299006KP6CXG2O2XV80,J40/14692/2020,RO,Equity Real Estate Investment Trusts (REITs),Siemens Energy Global GmbH & Co. KG,INDUSTRIAL,,"Zum Röthepfuhl 1a, 14974 Ludwigsfelde, Germany",Germany,,52.2994649,13.2798714,high
76_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy Services S.R.L.,5299006KP6CXG2O2XV80,J40/14692/2020,RO,Equity Real Estate Investment Trusts (REITs),Siemens Energy Inc,INDUSTRIAL,,"4624 Forest Ave, Cincinnati, OH 45212, USA",United States,,39.1604033,-84.4449454,high
